@relation 'struts_acdc_prediction_change-weka.filters.unsupervised.attribute.Remove-R1,9-10-weka.filters.supervised.instance.SMOTE-C2-K5-P4900.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P1900.0-S1-weka.filters.unsupervised.instance.Resample-S1-Z80.0'

@attribute label {a,b,c}
@attribute Logical_Dependency numeric
@attribute Link_Overload numeric
@attribute Unused_Interface numeric
@attribute Brick_Functionality_Overload numeric
@attribute Clone_Comp numeric
@attribute Sloopy_Delegation numeric

@data
b,0,0.608128,0,0,0,1
b,0,1,0,0,0,1
c,1,0.224158,0.462112,0.027848,0,0.107152
a,0,0,0,0,0,0
b,0.583825,0,0,0,0,0
a,0,0,0,0,0,0
c,1,1,0.556761,1,0,0.315608
c,0.183841,0.974946,0,0,0.279541,0.253065
c,1,0.11191,0,0.698514,0,0.373345
c,1,0.307815,0.714162,0.940816,0,0.859745
a,1,1,0,1,0,0
a,0,0,0,0,0,0
c,0.911491,1,0,0.614526,0.989789,0.282561
a,1,1,0,1,0,0
b,0,0,0,0,0,0.693898
c,0.118203,0.669534,0,0,0.353818,0.353554
a,0,1,0,0,0,0
c,1,1,0.930326,1,0,0
c,0,1,0,0,1,0
b,1,0.558902,0,0,0,0
b,0.549036,0,0,0,0,0
a,1,0,0,0,0,1
c,1,1,0,1,0,0.162724
c,0.396193,1,0,0.438398,0.110037,0.598847
a,0,0,0,0,1,0
b,1,0,0,0,0,0
c,0.347571,0.551737,0,0.456595,0,0.163843
a,0,0,0,0,0,0
b,0,1,0,0,0,1
b,1,1,0,0.296849,0.353818,0.353554
c,0.809075,1,0.034819,0.317653,0.136472,0
c,1,0.968076,0.086025,0.440844,0,0.184108
a,0,1,0,0,0,0
c,1,1,0,1,0,0.162724
c,0.198535,0.706808,0,0,0.095202,0.139633
a,0,1,0,0,0,1
b,0,1,0,0,0,1
b,1,0.990913,0,0.076873,0,0
a,1,0,0,0,0,0
b,0,0,0,0,0,0
a,0,0,0,0,0,0
b,0,0,0,0,0,0
c,0.044577,0,0,0,0,0.714425
