@relation 'camel_acdc_prediction_change (version 1) _new - Copy-weka.filters.unsupervised.attribute.Remove-R1,9-10-weka.filters.supervised.instance.SMOTE-C2-K5-P3317.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P38714.0-S1-weka.filters.unsupervised.attribute.Reorder-R1,6,2,3,4,7,5-weka.filters.unsupervised.attribute.Add-NConcern_Overload-C3-W1.0-weka.filters.unsupervised.attribute.Add-NScattered_Parasitic_Functionality-C5-W1.0-weka.filters.unsupervised.attribute.Add-NDependency_Cycle-C10-W1.0-weka.filters.unsupervised.instance.Resample-S1-Z5.5'

@attribute label {a,b,c}
@attribute Logical_Dependency numeric
@attribute Concern_Overload numeric
@attribute Link_Overload numeric
@attribute Scattered_Parasitic_Functionality numeric
@attribute Unused_Interface numeric
@attribute Brick_Functionality_Overload numeric
@attribute Clone_Comp numeric
@attribute Sloopy_Delegation numeric
@attribute Dependency_Cycle numeric

@data
b,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,1,0
b,0,0,1,0,0,1,0,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,1,0,1,0
c,0,0,0,0,0,1,0,1,0
b,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0.351041,0,1,0
b,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,1,0
c,0,0,0.019494,0,0,1,0,1,0
b,0,0,0,0,0,1,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,1,0,0,0
c,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,1,0
c,0,0,0.145165,0,0,1,0,1,0
b,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,1,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,0.986317,0,1,0
b,0,0,0,0,0,1,0,0,0
c,0,0,0,0,0,0,0,1,0
c,0,0,1,0,0,1,0,1,0
c,0,0,0,0,0,0.903916,0,1,0
b,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,1,0,0,0
c,0,0,0,0,0,0.709165,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,1,0,1,0
b,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,0,0,1,0
c,0,0,0.885952,0,0,1,0,1,0
c,0,0,0,0,0,0.769499,0,1,0
c,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,1,0
c,0,0,1,0,0,1,0,1,0
b,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,1,0,1,0
b,0,0,0,0,0,0,0,0,0
a,0,0,1,0,0,1,0,0,0
b,0,0,1,0,0,1,0,0,0
c,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,1,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,1,0,0,1,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,1,0,1,0
a,0,0,1,0,0,1,0,0,0
b,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,0.610479,0,1,0
b,0,0,0,0,0,0,0,1,0
c,0,0,0.708317,0,0,1,0,1,0
c,0,0,0,0,0,0,0,1,0
c,0,0,0.737054,0,0,1,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,1,0,1,0
a,0,0,1,0,0,1,0,0,0
b,0,0,1,0,0,1,0,1,0
b,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,0.940331,0,0,1,0,1,0
c,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,1,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0,0,0,0
c,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,0.229745,0,1,0
b,0,0,1,0,0,1,0,0,0
b,0,0,0,0,0,1,0,1,0
b,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,1,0,1,0
b,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0,0,0,0
b,0,0,0,0,0,0,0,1,0
c,0,0,0.843174,0,0,1,0,1,0
c,0,0,0.463039,0,0,1,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,1,0,0,0
b,0,0,0,0,0,1,0,1,0
a,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,0,0,1,0
c,0,0,1,0,0,1,0,1,0
c,0,0,1,0,0,0.458281,0,0.360946,0
b,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,1,0,0,0
b,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,1,0,1,0
b,0,0,1,0,0,1,0,0,0
c,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,1,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,1,0
b,0,0,1,0,0,1,0,1,0
c,0,0,0.194885,0,0,1,0,1,0
b,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,0.740126,0,1,0
b,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,0,0
c,0,0,0.541813,0,0,0,0,0.255909,0
c,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,1,0,1,0
b,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,1,0,1,0
b,0,0,0,0,0,0,0,1,0
c,0,0,1,0,0,1,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,1,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,0.343028,0,0,1,0,1,0
b,0,0,1,0,0,1,0,1,0
c,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,1,0,1,0
a,0,0,0,0,0,1,0,0,0
a,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,0.5207,0,0,1,0,1,0
c,0,0,0,0,0,1,0,1,0
b,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,1,0
b,0,0,1,0,0,1,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,1,0,1,0
c,0,0,0,0,0,0.538128,0,1,0
c,0,0,0,0,0,0.053983,0,1,0
c,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,1,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,1,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,1,0,1,0
c,0,0,0,0,0,0.624328,0,1,0
c,0,0,0.768877,0,0,1,0,1,0
c,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,1,0,1,0
c,0,0,0.857131,0,0,1,0,1,0
c,0,0,0,0,0,1,0,1,0
c,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,1,0
c,0,0,0.414261,0,0,1,0,1,0
a,0,0,1,0,0,1,0,1,0
a,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,1,0,1,0
a,0,0,0,0,0,1,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,1,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,1,0,1,0
c,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,1,0,1,0
b,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0.945317,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,0.308695,0,0,0,0,0.835025,0
b,0,0,0,0,0,0,0,1,0
