@relation 'hadoop_arc_prediction_change-weka.filters.unsupervised.attribute.Remove-R2,11-13-weka.filters.supervised.instance.SMOTE-C1-K5-P3395.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P474.0-S1-weka.filters.unsupervised.instance.Resample-S1-Z35.7-weka.filters.unsupervised.attribute.Add-NDependency_Cycle-Clast-W1.0'

@attribute Label {a,b,c}
@attribute Logical_Dependency numeric
@attribute Concern_Overload numeric
@attribute Link_Overload numeric
@attribute Scattered_Parasitic_Functionality numeric
@attribute Unused_Interface numeric
@attribute Brick_Functionality_Overload numeric
@attribute Clone_Comp numeric
@attribute Sloopy_Delegation numeric
@attribute Dependency_Cycle numeric

@data
a,1,0,1,0,0,1,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
c,1,0,1,0,0,1,0,1,0
c,0.80252,0,0,0,0,0.726546,0,1,0
b,1,0,1,0,0,1,0,1,0
a,1,0,0,0,0,1,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,1,0.620191,0,0,0,0,1,0
c,1,1,1,0,0,1,1,1,0
a,1,0,1,0,0,1,0,0,0
b,1,0,1,0,0,0,1,0.039532,0
b,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
b,1,0,0.47448,0,0,0,0,0,0
c,1,0,0,0,0,1,0,1,0
c,1,1,1,0,0,0.394894,1,1,0
c,0.086409,1,1,0,0,0,0.078839,1,0
c,1,1,1,0,0,1,1,1,0
a,0,0,0,0,0,0,0,0,0
c,1,0,0,0,0,1,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
c,0.678398,1,1,0,0,0,0.192519,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,1,0,1,0,0,1,0,0,0
b,1,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,0,0
c,1,0,1,0,0,0.963994,0,1,0
c,1,1,1,0,0,1,1,1,0
b,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
c,1,1,1,0,0,0.171053,1,1,0
a,1,0,1,0,0,1,0,0,0
c,1,1,1,0,0,0,0.132041,0.736607,0
c,1,0,0.177377,0,0,1,0,1,0
a,1,0,1,0,0,1,0,0,0
c,1,0,0.095759,0,0,1,0,1,0
a,0,0,0,0,1,0,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
c,1,0,0.641828,0,0,1,0,1,0
