@relation 'wicket_arc_prediction_change-weka.filters.unsupervised.attribute.Remove-R1,9-10-weka.filters.supervised.instance.SMOTE-C3-K5-P5300.0-S1-weka.filters.supervised.instance.SMOTE-C2-K5-P580.0-S1-weka.filters.unsupervised.attribute.Add-NLogical_Dependency-C2-W1.0-weka.filters.unsupervised.attribute.Add-NClone_Comp-C8-W1.0-weka.filters.unsupervised.attribute.Add-NDependency_Cycle-C10-W1.0-weka.filters.unsupervised.instance.Resample-S1-Z20.0'

@attribute label {a,b,c}
@attribute Logical_Dependency numeric
@attribute Concern_Overload numeric
@attribute Link_Overload numeric
@attribute Scattered_Parasitic_Functionality numeric
@attribute Unused_Interface numeric
@attribute Brick_Functionality_Overload numeric
@attribute Clone_Comp numeric
@attribute Sloopy_Delegation numeric
@attribute Dependency_Cycle numeric

@data
b,0,0,1,1,0,1,0,1,0
b,0,0,0,1,0,0,0,0,0
c,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,1,0,0,1,0,1,0
c,0,0,1,1,0,0,0,1,0
a,0,0,0,1,0,0,0,0,0
c,0,0,0.361975,1,0,0,0,1,0
b,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
a,0,0,1,0,0,1,0,0,0
a,0,0,0,1,0,0,0,0,0
c,0,0.286577,1,1,0,0,0,0,0
b,0,0,1,1,0,0,0,1,0
a,0,1,0,1,0,0,0,0,0
b,0,0,1,1,0,0,0,0,0
b,0,0,0,1,0,0,0,0,0
a,0,1,0,1,0,0,0,1,0
c,0,0,0.042219,0,0,0,0,0,0
c,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,1,0,1,0
b,0,0,0,0,0,0,0,0,0
b,0,0,1,1,0,1,0,0,0
a,0,0,0,1,0,0,0,0,0
c,0,0,1,1,0,0,0,1,0
c,0,0,0,0,0,0,0,0,0
b,0,0,0,1,0,0,0,0,0
b,0,0,0,1,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,1,0,0,0,0,0,0.133009,0
c,0,0,0,0.560483,0,0,0,0,0
a,0,0,0,1,0,0,0,0,0
b,0,0,1,0,0,0,0,0,0
c,0,0,0,0,0,0,0,0,0
b,0,0,0,1,0,0,0,1,0
b,0,0,1,1,0,1,0,1,0
b,0,0.889726,0,0,0,0,0,0,0
b,0,0,1,1,0,0,0,1,0
b,0,0,0,0,0,0,0,0,0
c,0,0,0,0.708416,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,0,1,1,0,1,0,0,0
a,0,0,0,1,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
c,0,0,1,1,0,0.143452,0,1,0
c,0,0,1,1,0,0,0,1,0
c,0,1,1,1,0,0,0,1,0
b,0,0,1,0,0,0,0,0,0
c,0,0,1,1,0,0,0,1,0
b,0,0,1,1,0,0,0,1,0
c,0,0,1,1,0,0,0,1,0
b,0,0,0,0,0,0,0,0,0
c,0,0,1,1,0,0,0,1,0
b,0,0,0,0,0,0,0,0,0
a,0,0,0,1,0,0,0,0,0
b,0,0,0,0,0,0,0,1,0
a,0,0,0,1,0,0,0,0,0
b,0,0,1,1,0,1,0,0,0
b,0,0,1,1,0,1,0,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,1,0,0,0,1,0
c,0,0,1,1,0,0,0,1,0
a,0,0,1,1,0,1,0,0,0
c,0,0.709268,1,1,0,0,0,1,0
b,0,0,0,0,0,0,0,0,0
c,0,0,1,1,0,0,0,1,0
c,0,0,1,1,0,0,0,1,0
a,0,0,1,1,0,1,0,1,0
c,0,0,0.163108,1,0,0,0,1,0
c,0,0,0.516673,1,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,1,0,0.936902,0,1,0
a,0,0,0,1,0,0,0,1,0
b,0,0,0,0,0,0,0,0,0
b,0,0,0,1,0,0,0,1,0
b,0,0,1,1,0,0,0,1,0
b,0,0,1,1,0,1,0,1,0
c,0,1,1,1,0,0,0,0.239865,0
c,0,0,1,1,0,0,0,1,0
c,0,0,1,1,0,1,0,1,0
b,0,0,0,0,0,0,0,1,0
c,0,0,0.039694,0,0,0,0,0,0
c,0,0,1,1,0,0.896868,0,1,0
a,0,1,0,1,0,0,0,1,0
b,0,0,1,1,0,0,0,1,0
a,0,0,1,1,0,1,0,1,0
c,0,0,0.145026,0,0,0,0,0,0
c,0,1,1,1,0,0,0,1,0
a,0,0,1,0,0,1,0,0,0
c,0,1,0.848041,1,0,0,0,1,0
b,0,0,1,1,0,1,0,0,0
b,0,0,0,1,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,0.087321,1,0,0,0,1,0
c,0,0.881797,0,1,0,0,0,1,0
c,0,0,1,1,0,0,0,1,0
c,0,1,1,1,0,0,0,1,0
a,0,0,1,0,0,0,0,0,0
b,0,0,0,1,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
b,0,1,0,1,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,1,0,0,0,0,0
a,0,0,1,1,0,0,0,0,0
b,0,0,1,1,0,0,0,1,0
c,0,0,1,1,0,0.52895,0,1,0
b,0,0,1,1,0,1,0,1,0
c,0,0,1,1,0,0,0,1,0
a,0,0,1,0,0,1,0,1,0
b,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0,0,0,0
c,0,0,0,0,0,0,0,0,0
a,0,0,0,1,0,0,0,0,0
a,0,0,0,0,0,0,0,1,0
b,0,0,1,1,0,1,0,0,0
b,0,0,1,1,0,0,0,0,0
c,0,0,0,0.760133,0,0,0,0,0
b,0,0,0,0,0,0,0,1,0
c,0,0,0,0,0,0,0,0,0
c,0,0,1,1,0,0,0,1,0
c,0,0,1,1,0,0,0,1,0
b,0,0,1,1,0,1,0,1,0
a,0,0,0,1,0,0,0,0,0
a,0,0,0,1,0,0,0,0,0
c,0,1,1,1,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0.589064,0,1,0,0,0,1,0
c,0,0,1,1,0,1,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,1,0,0.825536,0,1,0
b,0,0,0,1,0,0,0,0,0
a,0,0,0,0,0,0,0,1,0
c,0,0.114993,0,1,0,0,0,1,0
c,0,0,0,1,0,0,0,1,0
b,0,0,1,1,0,1,0,1,0
b,0,0,1,1,0,0,0,1,0
b,0,0.621277,0,1,0,0,0,1,0
b,0,0,1,0,0,1,0,0,0
c,0,0,0,1,0,0,0,0.058625,0
c,0,0,1,0.897252,0,0,0,0,0
c,0,0.094049,0,1,0,0,0,1,0
c,0,1,1,1,0,0,0,0.375814,0
c,0,0,1,1,0,0,0,1,0
c,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,1,0,0,0,1,0
a,0,0,1,0,0,0,0,0,0
c,0,0.386177,1,1,0,0,0,1,0
b,0,1,0,1,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,0,1,1,0,1,0,1,0
a,0,1,0,1,0,0,0,1,0
b,0,0,1,0.895726,0,1,0,1,0
b,0,0,0,0,0,0,0,0,0
b,0,0,1,1,0,0,0,1,0
c,0,0,1,1,0,0,0,1,0
c,0,0,1,1,0,0,0,1,0
c,0,0,1,0.474893,0,0,0,0,0
a,0,0,0,0,0,0,0,1,0
a,0,1,1,1,0,1,0,1,0
a,0,0,0,0,0,0,0,0,0
