@relation 'openjpa_pkg_prediction_change-weka.filters.unsupervised.attribute.Remove-R1-2,8-10-weka.filters.supervised.instance.SMOTE-C2-K5-P4966.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P5427.0-S1-weka.filters.unsupervised.attribute.Add-NClone_Comp-C5-W1.0-weka.filters.unsupervised.attribute.Add-NLogical_Dependency-C2-W1.0-weka.filters.unsupervised.instance.Resample-S1-Z50.0-weka.filters.unsupervised.attribute.Add-NConcern_Overload-C3-W1.0-weka.filters.unsupervised.attribute.Add-NScattered_Parasitic_Functionality-C5-W1.0-weka.filters.unsupervised.attribute.Add-NDependency_Cycle-C10-W1.0'

@attribute Label {a,b,c}
@attribute Logical_Dependency numeric
@attribute Concern_Overload numeric
@attribute Link_Overload numeric
@attribute Scattered_Parasitic_Functionality numeric
@attribute Unused_Interface numeric
@attribute Brick_Functionality_Overload numeric
@attribute Clone_Comp numeric
@attribute Sloopy_Delegation numeric
@attribute Dependency_Cycle numeric

@data
c,0,0,0.63336,0,0,0,0,1,0
c,0,0,1,0,0,1,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,1,0,0,0,0,1,0
b,0,0,0.089435,0,0,0,0,0,0
c,0,0,0.316073,0,0,0,0,1,0
c,0,0,1,0,0,1,0,0.736577,0
b,0,0,1,0,0,1,0,1,0
c,0,0,1,0,0,0.407246,0,0.913747,0
c,0,0,1,0,0,0,0,1,0
a,0,0,1,0,0,0,0,1,0
c,0,0,1,0,0,0,0,1,0
a,0,0,1,0,0,1,0,1,0
c,0,0,1,0,0,1,0,0.592183,0
a,0,0,1,0,0,1,0,1,0
b,0,0,1,0,0,0,0,0,0
b,0,0,1,0,0,0.70602,0,0,0
a,0,0,1,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,0,0,1,0
c,0,0,1,0,0,0,0,1,0
c,0,0,1,0,0,1,0,1,0
a,0,0,1,0,0,0,0,1,0
b,0,0,0.389131,0,0,0,0,0,0
b,0,0,0.35718,0,0,0,0,0.600708,0
a,0,0,1,0,0,1,0,0,0
b,0,0,1,0,0,0,0,1,0
b,0,0,1,0,0,0.2785,0,0,0
b,0,0,1,0,0,0.21883,0,0,0
a,0,0,0,0,0,1,0,1,0
c,0,0,1,0,0,1,0,1,0
b,0,0,0.089435,0,0,0,0,0,0
b,0,0,1,0,0,1,0,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0,0.684823,0,0,0,0,1,0
b,0,0,1,0,0,0,0,0.707614,0
b,0,0,1,0,0,1,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,0.40419,0,1,0
b,0,0,1,0,0,0,0,1,0
b,0,0,0.123542,0,0,0,0,0,0
c,0,0,1,0,0,0.676004,0,1,0
c,0,0,1,0,0,0,0,1,0
b,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0.9764,0,0,0
b,0,0,0.725441,0,0,0,0,0,0
b,0,0,1,0,0,1,0,0,0
c,0,0,1,0,0,1,0,0.387586,0
b,0,0,1,0,0,1,0,0,0
c,0,0,1,0,0,0.957702,0,1,0
a,0,0,0,0,0,0,0,1,0
b,0,0,1,0,0,0.647709,0,0,0
a,0,0,0,0,0,0,0,1,0
c,0,0,0.96039,0,0,0,0,1,0
b,0,0,0.926396,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,1,0,0,0
a,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0.267477,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,1,0
b,0,0,1,0,0,0.779669,0,1,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0.923127,0,0,0,0,0.201627,0
b,0,0,1,0,0,0.810931,0,0,0
c,0,0,0,0,0,0,0,1,0
c,0,0,1,0,0,1,0,0.295226,0
a,0,0,1,0,0,0,0,1,0
b,0,0,1,0,0,0.70602,0,0,0
a,0,0,0,0,0,0,0,1,0
c,0,0,1,0,0,1,0,1,0
b,0,0,1,0,0,0,0,0,0
c,0,0,1,0,0,1,0,1,0
a,0,0,1,0,0,0,0,0,0
c,0,0,0.850945,0,0,0,0,1,0
b,0,0,1,0,0,1,0,1,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0,0,0.054595,0
a,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0,0,0,0
a,0,0,1,0,0,0,0,1,0
b,0,0,1,0,0,0,0,0.922308,0
b,0,0,1,0,0,0.488843,0,1,0
a,0,0,1,0,0,1,0,0,0
c,0,0,1,0,0,1,0,0.21845,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,1,0
c,0,0,1,0,0,0,0,1,0
a,0,0,1,0,0,1,0,1,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,1,0,0,0
b,0,0,1,0,0,0,0,0,0
c,0,0,1,0,0,0.732038,0,0.826767,0
a,0,0,0,0,0,0,0,0,0
a,0,0,1,0,0,1,0,0,0
c,0,0,1,0,0,0.877371,0,0.916507,0
c,0,0,1,0,0,1,0,0.650275,0
b,0,0,0.834227,0,0,0,0,0,0
a,0,0,1,0,0,0,0,1,0
c,0,0,0.050422,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,0.726293,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,0,0,1,0
b,0,0,0.799396,0,0,0,0,0.717439,0
b,0,0,0.352913,0,0,0,0,0.162014,0
b,0,0,1,0,0,0,0,0.081628,0
b,0,0,1,0,0,1,0,0,0
c,0,0,1,0,0,0,0,1,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0.394892,0,1,0
c,0,0,1,0,0,1,0,0,0
b,0,0,1,0,0,0.024466,0,1,0
c,0,0,1,0,0,0,0,1,0
c,0,0,1,0,0,0.770829,0,1,0
c,0,0,1,0,0,1,0,1,0
c,0,0,1,0,0,0,0,1,0
c,0,0,1,0,0,0,0,1,0
b,0,0,1,0,0,1,0,0,0
c,0,0,1,0,0,1,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,1,0,1,0
b,0,0,1,0,0,0,0,0.081628,0
b,0,0,1,0,0,0,0,0.135537,0
c,0,0,1,0,0,1,0,0,0
c,0,0,1,0,0,1,0,0.450436,0
b,0,0,1,0,0,0.034901,0,1,0
c,0,0,1,0,0,1,0,0.881502,0
a,0,0,0,0,0,0,0,1,0
c,0,0,1,0,0,0.5723,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,1,0,0,1,0,0,0
c,0,0,1,0,0,0,0,1,0
b,0,0,1,0,0,1,0,1,0
a,0,0,1,0,0,1,0,1,0
b,0,0,1,0,0,1,0,0.752345,0
a,0,0,1,0,0,1,0,1,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,0.371746,0,1,0
b,0,0,1,0,0,0,0,0.642027,0
b,0,0,1,0,0,1,0,0.866174,0
a,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0.774124,0,1,0
b,0,0,1,0,0,1,0,1,0
b,0,0,1,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,0,0,1,0
a,0,0,1,0,0,1,0,1,0
b,0,0,1,0,0,0.625169,0,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0,0.117645,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,1,0,0.870643,0
b,0,0,0.205977,0,0,0,0,0,0
a,0,0,1,0,0,1,0,1,0
a,0,0,1,0,0,1,0,0,0
c,0,0,1,0,0,1,0,1,0
c,0,0,0.873417,0,0,0,0,1,0
b,0,0,1,0,0,0.827057,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,1,0,0,1,0,0,0
b,0,0,1,0,0,1,0,0,0
b,0,0,1,0,0,0.110717,0,1,0
b,0,0,1,0,0,0.499104,0,1,0
b,0,0,1,0,0,0,0,0.567033,0
c,0,0,1,0,0,1,0,1,0
a,0,0,1,0,0,1,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0.199242,0,0,0,0,0,0
b,0,0,1,0,0,1,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,1,0,1,0
c,0,0,1,0,0,0,0,1,0
b,0,0,1,0,0,0,0,0.745091,0
a,0,0,0,0,0,0,0,1,0
c,0,0,1,0,0,0,0,1,0
c,0,0,1,0,0,0,0,1,0
a,0,0,1,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0.652429,0,0,0,0,0,0
c,0,0,1,0,0,0.451047,0,1,0
