@relation hadoop_pkg_prediction_change-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.instance.SMOTE-C1-K5-P5000.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P1400.0-S1-weka.filters.unsupervised.instance.Resample-S1-Z32.3

@attribute Label {a,b,c}
@attribute Logical_Dependency numeric
@attribute Link_Overload numeric
@attribute Unused_Interface numeric
@attribute Brick_Functionality_Overload numeric
@attribute Clone_Comp numeric
@attribute Sloopy_Delegation numeric

@data
b,0,1,0,1,1,1
a,0,1,0,1,1,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
c,1,0,0,1,1,1
c,1,0.305673,0,1,1,1
a,1,1,0,0,1,0
a,1,0,0,1,1,0
b,1,1,0,1,1,1
c,1,1,0,1,1,1
b,1,0,0,1,1,1
a,0,0,0,1,0,0
b,0.376283,0,0,0,0,1
c,1,1,0,1,1,0.741205
a,1,1,0,0,0,0
b,0.036991,1,0,1,1,0
b,0,1,0,1,1,0.750169
a,0,1,0,1,0,0
c,1,1,0,1,1,1
c,1,1,0,0.874614,1,1
c,1,1,0,0.694202,1,1
b,0,1,0,1,1,1
c,1,0,0,1,1,1
b,1,1,0,0,0.666458,1
b,0,0,0,0,0,0
a,0,0,0,0,0,0
c,1,1,0,1,1,1
a,0,0,0,0,0,0
b,0.975481,0,0,0,0,1
c,1,1,0,0.874614,1,1
c,0,1,0,1,1,1
b,1,0.244221,0,0,0,1
a,0,0,0,0,0,1
b,0,1,0,1,1,1
a,0,1,0,0,0,0
c,1,1,0,1,1,1
c,1,1,0,1,1,1
a,1,0,0,0,0,0
b,1,1,0,0.546372,1,1
b,0,0,0,0,0,0
b,1,1,0,1,1,1
a,1,0,0,1,1,0
b,0,0,0,0,0,1
b,0,0,0,0,0,1
c,1,1,0,1,1,0.384569
b,1,1,0,1,1,1
b,0,1,0,1,1,0.956671
c,0,1,0,1,1,1
a,0,0,0,0,0,0
b,0.485921,0,0,0,0,1
b,1,1,0,0,0,0
b,1,0,0,0,0,1
b,1,1,0,1,1,1
b,0.377693,0,0,0,0,1
b,0,1,0,1,1,1
c,1,1,0,0.351725,1,1
a,0,0,0,0,0,0
b,1,1,0,1,1,0.181912
b,0,1,0,1,1,1
c,1,0,0,1,1,1
b,1,1,0,1,1,1
c,1,1,0,1,1,1
c,1,1,0,0.350795,1,1
a,0,0,0,0,0,0
b,1,0,0,1,1,1
b,0.509684,1,0,0,0,0
b,1,1,0,0,1,1
c,0,1,0,1,1,1
c,1,1,0,1,1,0
c,1,1,0,0.114769,1,1
c,0,1,0,1,1,1
b,0,1,0,1,1,1
c,0,1,0,1,1,1
b,0,0,0,0,0,1
b,1,0,0,0,0,1
a,1,0,0,1,1,0
b,0,0,0,0,0.552061,0
a,0,0,0,0,0,0
b,1,0,0,0,0,1
c,1,0.115788,0,1,1,1
b,1,0,0,0,0,1
b,1,0,0,1,1,1
c,1,1,0,0.285882,1,1
b,0,0,0,0,0,1
b,0.424811,1,0,0,0,0
b,1,0,0,1,1,1
b,1,0,0,1,1,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
b,1,1,0,0,0,0.480793
a,1,0,0,0,0,1
c,1,1,0,0,1,1
b,1,1,0,1,1,1
c,1,1,0,1,1,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
c,1,1,0,1,1,1
c,1,1,0,1,1,1
b,0,0.364174,0,0,0,0
a,1,0,0,0,0,0
c,1,0.05604,0,1,1,1
b,1,1,0,1,1,0.818084
b,1,0.347935,0,0,0,0
a,0,0,0,0,0,0
c,1,1,0,1,1,0
c,0,1,0,1,1,1
a,0,1,0,0,0,0
b,1,0,0,0,0,0
c,0.363092,1,0,1,1,1
c,1,0,0,1,1,1
a,0,0,0,0,0,1
c,1,1,0,0.486425,1,1
b,0,1,0,1,1,0.8148
b,1,0,0,1,1,0.649233
b,1,1,0,0,1,1
c,0.212027,1,0,1,1,1
b,1,1,0,0,0.666458,1
a,0,1,0,1,1,0
b,0.568631,1,0,0,0,0
a,0,1,0,1,0,0
b,0,0,0,0,0,1
c,1,0.551348,0,1,1,1
c,1,1,0,1,1,1
c,1,1,0,1,1,0.897343
b,0,0,0,0,0.755082,1
a,1,0,0,0,0,0
a,1,0,0,1,1,0
a,0,0,0,0,0,1
b,1,0,0,1,1,1
c,1,1,0,1,1,1
c,0,1,0,1,1,1
c,1,0,0,1,1,1
